target,pid,bid,env,checkout,compile,check_classfiles,gzoltar_exec_time,gzoltar_executed_tests,gzoltar_failing_tests,gzoltar_fl,flacoco_exec_time,flacoco_executed_tests,flacoco_failing_tests,flacoco_fl
11,Compress,12,True,True,True,True,,False,False,False,15.347,False,True,True
11,Compress,27,True,True,True,True,12.897,False,False,False,26.045,False,True,True
11,Compress,39,True,True,True,True,,False,False,False,39.725,False,False,True
11,Compress,13,True,True,True,True,4.893,False,False,False,12.472,False,True,True
11,Compress,6,True,True,True,True,16.67,False,True,True,6.719,False,True,True
11,Compress,14,True,True,True,True,,False,False,False,11.397,False,True,True
11,Compress,16,True,True,True,True,4.417,False,False,False,11.176,False,True,True
11,Compress,41,True,True,True,True,,False,False,False,55.164,False,False,True
11,Compress,17,True,True,True,True,9.375,False,False,False,10.447,False,True,True
11,Compress,2,True,True,True,True,7.475,False,False,False,3.514,False,True,True
11,Compress,9,True,True,True,True,22.205,False,True,True,8.162,False,True,True
11,Compress,36,True,True,True,True,2.933,False,False,False,19.828,False,False,True
11,Compress,18,True,True,True,True,22.287,False,False,True,11.39,False,True,True
11,Compress,22,True,True,True,True,8.045,False,False,False,14.54,False,True,True
11,Compress,11,True,True,True,True,,False,False,False,46.989,False,True,True
11,Compress,46,True,True,True,True,32.032,False,False,False,30.508,False,True,True
11,Compress,40,True,True,True,True,,False,False,False,149.716,False,False,True
11,Compress,21,True,True,True,True,,False,False,False,139.904,False,False,True
11,Compress,31,True,True,True,True,31.661,False,False,True,19.069,False,True,True
11,Compress,34,True,True,True,True,31.732,False,False,True,17.983,False,True,True
11,Compress,7,True,True,True,True,8.795,False,True,True,4.375,False,True,True
11,Compress,42,True,True,True,True,22.596,False,False,False,29.485,False,False,True
11,Compress,26,True,True,True,True,14.114,False,False,False,14.199,False,True,True
11,Compress,38,True,True,True,True,9.365,False,False,False,29.477,False,False,True
11,Compress,3,True,True,True,True,8.216,False,False,False,6.36,False,True,True
11,Compress,47,True,True,True,True,27.089,False,False,False,,False,False,False
11,Compress,20,True,True,True,True,,False,False,False,98.054,False,False,True
11,Compress,23,True,True,True,True,23.339,False,False,True,12.443,False,True,True
11,Compress,24,True,True,True,True,20.152,False,False,True,14.217,False,True,True
11,Compress,35,True,True,True,True,29.51,False,False,True,17.977,False,False,True
11,Compress,44,True,True,True,True,45.831,False,False,True,29.036,False,False,True
11,Compress,32,True,True,True,True,27.724,False,False,True,18.86,False,True,True
11,Compress,8,True,True,True,True,8.547,False,True,True,4.286,False,True,True
11,Compress,33,True,True,True,True,27.856,False,False,True,18.354,False,True,True
11,Compress,37,True,True,True,True,29.582,False,False,True,19.254,False,False,True
11,Compress,28,True,True,True,True,20.413,False,False,True,12.672,False,True,True
11,Compress,29,True,True,True,True,25.442,False,False,True,17.288,False,True,True
11,Compress,25,True,True,True,True,19.767,False,False,True,11.615,False,True,True
11,Compress,30,True,True,True,True,27.563,False,False,True,17.518,False,True,True
11,Compress,4,True,True,True,True,7.45,False,True,True,6.806,False,True,True
11,Compress,45,True,True,True,True,45.22,False,False,True,30.27,False,False,True
11,Compress,19,True,True,True,True,15.171,False,False,True,8.482,False,False,True
11,Compress,5,True,True,True,True,7.063,False,True,True,3.681,False,True,True
11,Compress,43,True,True,True,True,41.809,False,False,True,26.289,False,False,True
11,Compress,15,True,True,True,True,13.46,False,False,True,6.671,False,True,True
11,Compress,10,True,True,True,True,14.172,False,False,True,6.854,False,True,True
11,Compress,1,True,True,True,True,4.831,False,True,True,3.904,False,True,True
11,Csv,12,True,True,True,True,5.897,False,False,True,5.232,False,True,True
11,Csv,11,True,True,True,True,5.912,False,False,True,6.383,False,True,True
11,Csv,4,True,True,True,True,4.848,False,False,True,5.529,False,True,True
11,Csv,13,True,True,True,True,5.301,False,False,True,6.655,False,True,True
11,Csv,6,True,True,True,True,5.334,False,False,True,5.995,False,True,True
11,Csv,7,True,True,True,True,5.96,False,False,True,3.807,False,True,True
11,Csv,14,True,True,True,True,9.159,False,False,True,7.604,False,True,True
11,Csv,16,True,True,True,True,10.389,False,False,True,8.047,False,True,True
11,Csv,5,True,True,True,True,5.105,False,False,True,3.047,False,True,True
11,Csv,8,True,True,True,True,5.517,False,False,True,5.134,False,True,True
11,Csv,9,True,True,True,True,5.095,False,False,True,5.217,False,True,True
11,Csv,15,True,True,True,True,9.927,False,False,True,7.356,False,True,True
11,Csv,2,True,True,True,True,4.417,False,False,True,4.998,False,True,True
11,Csv,10,True,True,True,True,32.4,False,False,False,8.331,False,True,True
11,Csv,1,True,True,True,True,13.433,False,False,False,8.917,False,True,True
11,Csv,3,True,True,True,True,23.193,False,False,True,33.276,False,True,True
11,JacksonDatabind,27,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,39,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,102,True,True,True,True,56.584,False,False,False,,False,False,False
11,JacksonDatabind,59,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,41,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,66,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,61,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,105,True,True,True,True,30.7,False,False,False,,False,False,False
11,JacksonDatabind,40,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,53,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,68,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,42,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,55,True,True,False,False,,False,False,False,,False,False,False
11,JacksonDatabind,70,True,True,False,False,,False,False,False,,False,False,False
